study_hours,attendance_percentage,previous_grade,parental_education,internet_access,extracurricular_activity,sleep_hours,pass_fail
19.9779257046734,80.36217965253388,75.37798678544755,High School,Yes,No,5.355920593968955,1
47.634286707675976,87.80088383148234,42.067045347361635,Bachelor,No,No,7.938478805378038,1
37.135709206947446,55.02807392754994,91.06761943483704,Master,Yes,Yes,4.985301749364075,1
30.735607241457757,77.49244597641993,72.91813673484691,PhD,No,Yes,4.335881709170119,1
9.488894741236953,74.30475898862491,41.0042718489868,High School,Yes,Yes,4.726094300491893,0
9.487736976137727,89.96982260729627,97.36366402368448,High School,Yes,Yes,9.579908698804807,1
4.788013384073574,94.36522362887564,66.28558243347244,High School,Yes,Yes,7.310505297637308,0
43.57645499719689,40.72940628864321,35.10289163101585,Master,Yes,No,8.778074652877894,1
30.853520563674024,80.44119514352755,73.8783033090547,Bachelor,No,Yes,5.995927005430307,1
35.98748373421019,43.11014794718374,47.723923490896716,Bachelor,Yes,No,7.55595188731268,0
2.9880557261985174,72.93151990464136,86.25854163141116,High School,No,Yes,6.9697128022299495,1
48.55567290377573,57.25796374262069,87.24754514963334,PhD,Yes,Yes,9.674427756413763,1
41.95724675842024,58.40659597132847,98.52631490982633,High School,Yes,Yes,8.485447816324662,1
12.192277312557255,61.177510207141395,65.13086717171527,High School,No,No,8.383255788979474,0
10.72759842594083,77.27754694297661,61.8469815809416,PhD,Yes,No,4.278119616605677,1
10.803416472964823,60.042997940126156,82.74329238125364,High School,Yes,No,7.298018014022146,0
16.60362766205781,83.96194303541682,39.27294594393486,Master,No,Yes,6.801948723410889,0
27.188308718347415,64.27164313443218,68.2840859655187,High School,Yes,Yes,9.567053599637166,1
22.73336089482156,44.101192018597516,68.23733200915956,Master,No,Yes,5.5440519291371935,0
15.978998729506012,87.02559054904643,36.263118596727104,High School,Yes,Yes,5.619000719746566,0
31.368938946674213,57.14549947556236,59.25888598548395,Bachelor,Yes,Yes,6.468077493289003,1
8.695705311298008,65.96601277595576,89.72993589970415,PhD,Yes,Yes,5.460218280438256,1
16.02294312969047,81.12663299331409,89.93075353962621,Bachelor,No,No,4.775103506852497,1
19.5853684780972,59.94736942892272,36.94663654437767,High School,Yes,No,9.144489079904805,0
23.891359242417725,43.39513936880294,36.350461792348156,High School,Yes,Yes,7.349659146423495,0
39.68844614686465,62.43526282076881,48.38868339013547,Master,Yes,No,9.168176313739401,1
11.584341543601267,96.66691496165821,91.23362437877955,High School,Yes,No,8.986808592422175,1
26.683253043853355,78.50406383791349,39.02318095514492,High School,Yes,No,5.692254128738027,0
30.435899305378037,80.28874892003242,80.39977618392123,High School,Yes,Yes,7.286424665945644,1
4.229619810559891,77.9369292182584,37.081593372917226,Bachelor,Yes,Yes,4.499306216440423,0
31.16215289126904,51.93952833756621,73.61964976234778,Master,Yes,Yes,9.49151130418455,0
10.185157936989993,65.1000318461368,54.92471093834014,Bachelor,Yes,Yes,6.425576290390919,0
5.122476463293417,85.0563879017991,85.22397740761069,Master,No,No,6.362057103334128,1
47.54650578816,46.08237385318955,46.35833141777545,Bachelor,Yes,Yes,5.8165322237077195,1
48.35033758757885,56.671166565382734,74.74412805729719,High School,No,Yes,6.7639824682642224,1
40.80307270959013,56.579146507951215,46.49777742031195,Bachelor,No,Yes,5.5105563192726885,0
16.621460920321795,65.92113565567035,79.95621981785077,Bachelor,No,No,6.2491136367808275,0
6.688261472306426,98.8221244565311,91.15746241925241,Master,Yes,No,8.799682291509292,1
34.84318527258353,44.05015280102931,38.8761259388732,Master,No,No,9.005533021511031,0
23.127319699500863,71.12205966283571,90.66169820168525,Bachelor,No,No,5.825094865771097,1
7.857835272549384,50.76188092073263,71.55026780900086,Master,No,No,6.814086583316728,0
25.76849168534097,98.24059272458464,38.89773436069168,Master,Yes,Yes,9.242918657680313,1
3.650649013530483,46.798210283647855,59.92792987517984,Master,No,No,4.316039990978183,0
45.64737929978154,64.21606014169548,41.260220543956855,PhD,Yes,No,9.334869771974713,1
14.421439116800812,84.27309909007637,79.02435222065986,Master,No,Yes,5.31510607391399,0
33.80106964899113,82.27326568164672,83.12076940925647,PhD,No,Yes,8.071235465286255,1
16.962131652291724,65.36371821363593,37.40575641909593,PhD,Yes,Yes,7.4953101783076015,0
26.96326501653492,60.79145007716309,65.4297896886251,Master,Yes,No,7.317644489135512,1
28.242093408477423,63.85674271317224,87.0237539218142,Bachelor,No,Yes,9.156161348516928,1
10.873013865225298,55.85657578951836,95.53141290856975,Master,No,No,4.609432861867967,1
48.54006213269881,52.31997632240799,65.9462506719239,High School,No,Yes,6.082168151953816,1
39.2063755213335,68.9823818535334,96.5195456527985,Bachelor,Yes,No,7.229516478068594,1
47.095949195081076,56.112025364056436,67.49822793192209,PhD,Yes,No,8.867733123676238,1
44.95171282052714,57.247699893835005,57.593334621993556,PhD,No,No,5.2986585004700295,1
30.69919898293209,79.40536380847342,89.37421899870267,Bachelor,No,No,8.817579048245658,1
46.24996328110961,98.11223990199353,64.50878973206623,Bachelor,Yes,Yes,6.397830894963614,1
6.247640098492136,76.21823203356251,63.033175739516615,Master,Yes,Yes,5.133483138602172,0
11.40717739611897,44.61876802389798,64.32187425868798,PhD,No,No,8.553918642660896,0
4.170909867705827,44.53501683124402,89.27495013088217,High School,Yes,Yes,4.545393408847287,0
17.615855876636687,97.08539325073396,88.23590791816365,Master,No,No,7.088604244452657,0
20.656509905095135,57.83744741844002,58.24639947081478,Bachelor,Yes,Yes,4.38325470317133,1
15.024753525147004,45.52401916494853,53.33099019093675,PhD,No,Yes,6.138507130946725,0
41.77940043929261,75.9426752290229,64.43496168273904,Bachelor,No,No,7.606460794038356,1
19.124159681292284,77.41892669741597,70.09407568159763,Bachelor,No,No,7.336693248923279,1
15.484856464994277,78.91028920712128,46.68360474395979,Bachelor,Yes,Yes,6.427932507427999,1
28.049411991595925,56.04412167145248,85.57685593009134,Master,No,No,6.574287963832694,1
8.764362798788607,40.9066410528685,64.0537936012696,High School,No,Yes,5.360617320104599,0
40.505455076193904,97.9009221672683,53.383188389397176,High School,Yes,Yes,6.735295530544617,1
5.5784308966289995,55.05358274146615,37.47746950747934,PhD,No,Yes,9.719529134325006,0
49.37057295682483,80.56157728315284,46.71916122825249,Bachelor,No,No,9.102717506702742,1
39.06774892623956,82.39779219272258,96.44968202291886,High School,No,No,4.871397214458063,1
11.538352713640275,76.60044502476914,51.35697807736686,Bachelor,Yes,Yes,4.178684723925525,0
2.265061621932915,58.77444365281889,41.82015025569247,PhD,Yes,No,9.601145876299784,0
41.14214856583204,56.265775225843946,62.24709541584952,Bachelor,Yes,No,7.160498499284486,0
35.92915250468562,75.86009696216219,51.4961420352174,High School,Yes,Yes,7.227026938895847,1
36.99234406596739,91.9657380167015,32.461147518983594,Bachelor,No,No,8.684307974239134,0
39.0209766409254,96.80402373540373,52.620165209559204,High School,Yes,No,5.888133843227959,1
5.554143283236337,46.35434826422546,68.08760367576281,PhD,Yes,Yes,6.891445413016013,0
19.206354970125084,49.28971675586319,68.61986604139769,Bachelor,Yes,No,9.811977478880426,0
7.561714857206226,96.68417552698477,54.95912448238221,High School,No,Yes,8.032892121594443,1
43.42896444202849,84.19211370008756,61.311192937682044,PhD,No,No,4.922470191974716,1
31.91831008772278,92.97962948978639,97.58625427643365,Bachelor,No,No,4.79936048790612,1
17.88310519292716,52.15795804812059,56.41439340612182,PhD,Yes,Yes,5.225588549998032,0
5.0508008137291345,75.25515226656411,48.07587692819881,High School,No,Yes,8.600270046524304,0
16.927151442351786,82.06837566504842,47.0426930846732,Bachelor,No,No,5.772262023043696,0
17.608799457283858,80.80671312681835,62.04352288928939,Bachelor,Yes,Yes,4.128333080050479,1
37.02109656022708,64.48910145200189,83.16641041018607,Bachelor,No,Yes,9.665046181033972,1
32.60275862505023,40.92369350147851,44.41917289319312,PhD,Yes,No,5.018280498369464,1
44.586211643663674,74.9755634082558,79.65072889985376,PhD,Yes,Yes,4.057349116888411,1
24.666316407773564,55.186092350776526,31.48048763445914,High School,No,No,5.422789614299938,0
7.740523805038482,67.01525476857341,59.32530845887622,Master,Yes,No,5.410172722708802,1
36.235749786703764,97.45486090502904,84.31055456419509,Bachelor,Yes,Yes,6.532031505074338,1
38.51768233361108,63.94211905854608,53.7113069042102,Bachelor,Yes,No,9.522338989000222,1
28.941305483335817,90.3880963998656,69.46159710117797,High School,Yes,Yes,9.275109506674587,1
39.006424637818924,51.31243634495507,44.348546297813755,Bachelor,Yes,No,6.741367329894567,0
25.702188625490756,80.34762988150173,81.93967737883206,PhD,Yes,Yes,6.465399429950839,1
27.091175810335713,98.6204172663366,33.65953722881317,PhD,No,Yes,7.330054518849107,0
22.521968881210384,46.113586052376206,89.67798514128503,Bachelor,Yes,No,5.460724071830595,1
3.220118083716569,40.49919653363152,43.87374704951677,Bachelor,Yes,Yes,4.313109951798177,0
7.178788495678614,66.01496755795687,91.20786221958315,PhD,Yes,Yes,9.63534481702724,1
3.508600912963244,45.55752898308203,54.67704689103621,Bachelor,Yes,Yes,5.120193909263037,0
32.54769974066146,84.90306098057388,80.58785021321407,PhD,No,No,5.190404375474298,1
17.08908709166368,94.87291983091353,52.34577084503319,Master,No,No,6.834761973123686,0
26.411393175905733,66.04125836252553,93.41381698642533,Master,Yes,Yes,6.949680069041984,1
45.56319074845246,55.52269852932646,38.86459878628621,Bachelor,No,Yes,4.110605258204451,1
13.966026999145997,66.06419914039658,42.49638524908191,Bachelor,Yes,No,4.887728432643824,0
21.698380305710227,83.40686907100006,64.51210876111617,Bachelor,Yes,No,6.26892891136445,1
38.266454650066336,40.54324969482226,35.73569073267023,PhD,Yes,No,8.102384161063235,0
12.982311943597878,75.36723936908183,43.71861292912334,Master,Yes,Yes,5.370510740991615,0
5.695035671782064,76.79750109324274,96.063646754841,Master,No,No,6.5380866774505755,1
15.908069739860865,78.26129481375614,98.3542762803521,High School,No,Yes,7.344070388298801,1
9.738621788192212,54.52132479885263,56.33815305312953,High School,Yes,No,9.331554967739752,0
46.62548731244351,82.84316340268761,94.63002147097549,Bachelor,Yes,Yes,5.956423013962739,1
40.789778219092014,45.483489179906584,68.13772729714023,PhD,No,No,4.801349595180901,0
32.403380312500325,51.95622018800805,48.88197261116369,Bachelor,No,Yes,6.935633355385649,0
43.83010832901045,92.64820279926892,79.1679104756419,Master,Yes,No,8.480329610104373,1
40.576259691157496,84.32338904359398,76.12312646024,Bachelor,No,No,4.6591585423164,1
10.95536282652972,40.824733240680715,99.23877233761134,Bachelor,Yes,Yes,6.548100950181762,0
44.84283192751893,54.90257562218801,48.55331011864983,Master,No,No,4.106710847574901,0
27.888427611951236,52.864388979589876,77.04416518632148,Master,No,No,4.201355089883506,1
40.757127447875,56.248379682218356,33.64166285206128,Master,No,No,6.897720179299993,0
45.01238239632767,54.85358621679318,37.95522270877036,Master,No,No,5.789183788905577,1
17.264166798649466,43.751577744570746,30.27428624657653,High School,Yes,Yes,9.070643794032474,0
7.282492377328484,67.53643099580921,99.96224767417712,PhD,Yes,Yes,7.612925836758725,1
12.9408878020132,83.9640084871699,86.15915880032344,PhD,No,No,6.723597770457943,1
22.501173854060305,76.40390348304618,85.07061103134785,Master,Yes,Yes,6.447612226325778,1
41.26470876427967,80.37230011588478,65.68082527017258,PhD,No,Yes,6.98347288113738,1
43.315067996304485,44.86895071217435,51.0046958033808,PhD,No,Yes,4.242632987275968,1
2.3337022654971538,97.08944261060724,40.58849991238731,PhD,Yes,Yes,9.35676013852396,1
26.515870523723155,90.30951003058149,49.92723171925246,PhD,Yes,Yes,9.98981893440375,1
22.03572815114139,88.30541910973976,56.31798553503974,Master,Yes,No,5.088922749152192,1
12.661174902595052,89.37902830250604,82.94170678862059,Bachelor,No,Yes,4.722297788647719,1
7.753537632016775,95.96263048796568,67.77632522322067,Bachelor,Yes,No,4.861464780691572,1
18.205528227374142,72.65523796682186,35.42385385888379,Bachelor,Yes,Yes,7.966162349406202,0
47.25966578780092,52.016921072057556,31.262030627123856,High School,Yes,No,7.968645030704648,1
17.51374073699625,77.00701647115247,37.16325256738442,PhD,Yes,No,9.087544973670465,1
26.90194984368157,84.57288962007634,58.73490995881656,Master,No,No,8.51095833055752,1
35.74491002696854,84.27504360124152,95.32350419343128,Master,No,Yes,6.698138040216039,1
19.45422091420611,71.2869414500128,74.61817368464551,High School,No,Yes,7.677132169391913,1
48.64553997060611,44.10752316001468,86.12781299128605,Master,No,No,8.129708022208048,1
48.19747015722134,62.26677630580767,62.646221615318396,Bachelor,No,No,7.076418821711351,1
14.08555019961748,95.24599650780144,55.316625823653,High School,No,Yes,6.85390590670982,1
25.8679282828345,75.06693458544555,37.588026090163595,Master,No,Yes,7.8705846738559195,1
16.442158871204946,72.29991659534281,91.31531155303435,High School,Yes,No,7.344847293853922,1
15.672343730118445,56.13121086293161,84.82120203195319,High School,No,Yes,7.863653832015462,0
3.770573473017574,62.10693519499473,41.76826683184076,Master,No,Yes,7.677128643780183,0
31.25908803103505,93.72076534919016,65.85823947133824,Bachelor,No,Yes,8.315179363081928,1
26.12859311498535,79.98778285161015,64.11623655448714,Master,No,Yes,7.856821052697256,1
4.470980059999489,87.24322160513998,73.75640868805701,PhD,Yes,Yes,7.118454918623604,0
15.375030283357349,67.2607253840593,96.23308257938828,PhD,No,Yes,8.090780867706318,1
45.596762526399374,77.81483316736947,70.58400092337357,Master,No,No,6.696891791112568,1
13.498970752014676,54.90301652459245,67.81520867450331,Bachelor,Yes,No,5.450027355835607,0
8.954953860378708,82.32764981700917,33.522605305426474,PhD,No,No,4.008509320803492,0
25.493732493323023,65.65608002220024,34.40352332126167,PhD,No,No,7.35978488287506,0
49.31122179730883,66.55273088888474,43.11427539287522,Master,No,No,7.543931359651846,1
13.61865303255202,78.9593394746129,32.27295401842238,Master,No,No,9.832293788654287,0
34.26250627548217,96.1768372881356,82.03470268990087,Master,No,Yes,6.168870004565653,1
38.55774153577845,43.84038079651725,80.63312127957742,High School,No,Yes,6.3647994569698705,1
13.406602111635184,89.48459424082046,39.52393641021501,High School,No,No,5.210797488053141,0
36.95438473336926,57.54298662473158,88.52552305566967,High School,Yes,No,4.423205771423931,1
19.653590370524157,66.63516727038267,40.83502243922784,Master,Yes,No,8.636826957170443,0
32.35067986849182,41.31479972650054,51.082291089815115,Bachelor,No,Yes,5.498086386035951,1
32.409426116522944,58.06276467005878,47.42838294129555,PhD,Yes,Yes,7.653429166180228,1
27.717184835588405,70.15787455780783,56.06149690011334,High School,No,Yes,8.126638213272889,0
6.3339089626115985,43.37056464084634,47.82646361229733,Bachelor,Yes,Yes,6.827420123749886,0
42.09451978828342,69.46574376298992,64.22656485069164,Master,No,No,9.25811267816315,1
17.39744311864332,95.62663773150564,58.51855169482798,High School,Yes,No,6.662769045878372,1
10.952888499193003,46.323593086468314,99.05986435455286,Master,No,No,5.709451738250591,1
3.957206794628668,85.86644368453025,33.9148445089758,Bachelor,Yes,No,9.376093137769734,0
